,time,value,month,year,year2,day,date
168,Apr-08,4.6,Apr,08,2008,01,2008-Apr-01
169,Feb-10,-1.3,Feb,10,2010,01,2010-Feb-01
170,Sep-12,5.3,Sep,12,2012,01,2012-Sep-01
171,Jun-13,4.1,Jun,13,2013,01,2013-Jun-01
172,Feb-15,3.0,Feb,15,2015,01,2015-Feb-01
173,Mar-15,3.2,Mar,15,2015,01,2015-Mar-01
174,Feb-16,3.8,Feb,16,2016,01,2016-Feb-01
175,Apr-16,3.7,Apr,16,2016,01,2016-Apr-01
176,Jul-18,-0.3,Jul,18,2018,01,2018-Jul-01
177,Dec-20,0.9,Dec,20,2020,01,2020-Dec-01
178,Mar-20,1.2,Mar,20,2020,01,2020-Mar-01
179,Jan-21,0.8,Jan,21,2021,01,2021-Jan-01
180,Apr-21,0.1,Apr,21,2021,01,2021-Apr-01
181,Feb-13,4.5,Feb,13,2013,01,2013-Feb-01
182,Apr-14,2.4,Apr,14,2014,01,2014-Apr-01
183,Jun-15,3.8,Jun,15,2015,01,2015-Jun-01
184,Jul-15,3.7,Jul,15,2015,01,2015-Jul-01
185,Mar-16,3.7,Mar,16,2016,01,2016-Mar-01
186,Apr-18,-0.0,Apr,18,2018,01,2018-Apr-01
187,Jul-19,0.9,Jul,19,2019,01,2019-Jul-01
188,Sep-19,0.9,Sep,19,2019,01,2019-Sep-01
189,Oct-05,,Oct,05,2005,01,2005-Oct-01
190,Jul-06,2.8,Jul,06,2006,01,2006-Jul-01
191,Mar-07,2.3,Mar,07,2007,01,2007-Mar-01
192,Apr-05,,Apr,05,2005,01,2005-Apr-01
193,Dec-05,,Dec,05,2005,01,2005-Dec-01
194,Mar-09,3.7,Mar,09,2009,01,2009-Mar-01
195,Jun-09,2.8,Jun,09,2009,01,2009-Jun-01
196,Oct-09,0.8,Oct,09,2009,01,2009-Oct-01
197,Nov-09,0.0,Nov,09,2009,01,2009-Nov-01
198,Apr-10,-1.6,Apr,10,2010,01,2010-Apr-01
199,May-10,-1.4,May,10,2010,01,2010-May-01
200,Sep-10,-0.4,Sep,10,2010,01,2010-Sep-01
